id_transaction,date,quantity,total_line_value,id_costomer,id_product
TXN-1001,2024-01-15,1,3500000,1,1
TXN-1001,2024-01-15,2,240000,1,2
TXN-1001,2024-01-15,1,45000,1,3
TXN-1002,2024-01-15,1,450000,2,4
TXN-1003,2024-01-16,2,1200000,3,5
TXN-1003,2024-01-16,1,250000,3,6
TXN-1004,2024-01-16,1,320000,4,7
TXN-1004,2024-01-16,3,240000,4,8
TXN-1005,2024-01-17,1,3500000,5,1
TXN-1005,2024-01-17,1,1200000,5,9
TXN-1006,2024-01-18,1,120000,6,2
TXN-1006,2024-01-18,1,2800000,6,10
TXN-1006,2024-01-18,1,90000,6,11
TXN-1007,2024-01-19,2,2200000,7,12
TXN-1007,2024-01-19,2,70000,7,13
TXN-1008,2024-01-20,1,1500000,8,14
TXN-1009,2024-01-21,2,160000,1,8
TXN-1010,2024-01-22,1,950000,9,15
TXN-1010,2024-01-22,5,125000,9,16
TXN-1011,2024-01-23,10,450000,10,3
TXN-1012,2024-01-23,1,550000,3,17
TXN-1013,2024-01-24,1,180000,4,18
TXN-1013,2024-01-24,1,120000,4,19
TXN-1014,2024-01-25,1,3500000,2,1
TXN-1014,2024-01-25,1,120000,2,2
TXN-1014,2024-01-25,1,1200000,2,9
TXN-1015,2024-01-26,2,5600000,5,10
TXN-1016,2024-01-27,2,900000,11,4
TXN-1017,2024-01-28,2,50000,1,16
TXN-1018,2024-01-29,3,1350000,12,20
TXN-1019,2024-01-30,1,180000,6,18
TXN-1020,2024-01-31,1,250000,3,6
TXN-1020,2024-01-31,1,120000,3,2
TXN-1021,2024-02-01,2,1100000,13,17
TXN-1022,2024-02-02,5,17500000,7,1
TXN-1023,2024-02-03,4,320000,8,8
TXN-1024,2024-02-04,2,70000,9,21
TXN-1025,2024-02-05,1,320000,10,7
TXN-1025,2024-02-05,1,450000,10,4
TXN-1026,2024-02-06,1,600000,1,5
TXN-1027,2024-02-07,1,120000,2,19
TXN-1028,2024-02-08,2,90000,5,3
TXN-1029,2024-02-09,1,2800000,6,10
TXN-1030,2024-02-10,10,250000,4,16
TXN-1031,2024-02-11,1,1200000,3,9
TXN-1031,2024-02-11,1,35000,3,13
TXN-1032,2024-02-12,3,2850000,7,15
TXN-1033,2024-02-13,1,1500000,8,14
TXN-1033,2024-02-13,2,160000,8,8
TXN-1034,2024-02-14,1,3500000,9,1
TXN-1035,2024-02-15,5,600000,10,2
TXN-1036,2024-02-16,1,180000,1,18
TXN-1037,2024-02-17,1,320000,2,7
TXN-1038,2024-02-18,1,1100000,5,12
TXN-1039,2024-02-19,1,250000,6,6
TXN-1039,2024-02-19,1,120000,6,2
TXN-1040,2024-02-20,1,550000,4,17
TXN-1041,2024-02-21,2,240000,3,19
TXN-1042,2024-02-22,5,175000,7,21
TXN-1043,2024-02-23,1,2800000,8,10
TXN-1043,2024-02-23,1,90000,8,11
TXN-1044,2024-02-24,3,1800000,9,5
TXN-1045,2024-02-25,1,45000,10,3
TXN-1046,2024-02-26,1,80000,1,8
TXN-1047,2024-02-27,3,105000,2,13
TXN-1048,2024-02-28,1,3500000,5,1
TXN-1049,2024-03-01,1,1500000,6,14
TXN-1050,2024-03-02,2,50000,4,16
TXN-1051,2024-03-03,1,450000,3,20
TXN-1052,2024-03-04,1,950000,7,15
TXN-1053,2024-03-05,2,360000,8,18
TXN-1054,2024-03-06,1,1200000,9,9
TXN-1055,2024-03-07,1,450000,10,4
TXN-1056,2024-03-08,1,2800000,1,10
TXN-1057,2024-03-09,1,120000,2,2
TXN-1057,2024-03-09,1,250000,2,6
TXN-1058,2024-03-10,1,120000,5,19
TXN-1059,2024-03-11,1,550000,6,17
TXN-1060,2024-03-12,1,80000,4,8
TXN-1061,2024-03-13,1,1100000,3,12
TXN-1062,2024-03-14,3,135000,7,3
TXN-1063,2024-03-15,1,35000,8,21
TXN-1064,2024-03-16,1,3500000,9,1
TXN-1064,2024-03-16,1,90000,9,11
TXN-1065,2024-03-17,1,320000,10,7
TXN-1066,2024-03-18,1,600000,1,5
TXN-1067,2024-03-19,1,450000,2,20
TXN-1068,2024-03-20,1,35000,5,13
TXN-1069,2024-03-21,1,180000,6,18
TXN-1070,2024-03-22,1,950000,4,15
TXN-1071,2024-03-23,1,1500000,3,14
TXN-1072,2024-03-24,1,2800000,7,10
TXN-1073,2024-03-25,1,1200000,8,9
TXN-1074,2024-03-26,1,3500000,9,1
TXN-1075,2024-03-27,2,240000,10,2
TXN-1076,2024-03-28,1,25000,1,16
TXN-1077,2024-03-29,1,80000,2,8
TXN-1078,2024-03-30,1,550000,5,17
TXN-1079,2024-03-31,1,120000,6,19
TXN-1080,2024-04-01,1,250000,4,6
TXN-1081,2024-04-02,1,600000,3,5
TXN-1082,2024-04-03,2,5600000,7,10
TXN-1083,2024-04-04,1,450000,8,4
